Product Name,Product Price,Product Rating,Product Reviews,Stock Availability,Date,Time
"GOVO GOBOLD 410 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",N/A,N/A,[],N/A,2023-05-12,13:02:41
"GOVO GOBOLD 600 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",N/A,N/A,[],N/A,2023-05-12,13:02:42
"GOVO GOBOLD 610 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",N/A,N/A,[],N/A,2023-05-12,13:02:43
"GOVO GOBUDS 400 True Wireless in Ear Earbuds, ENC, 25H Playtime, Fast Charge,Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,199",3.6,"['270 Ratings &', '89 Reviews']",N/A,2023-05-12,13:02:44
"GOVO GOBUDS 410 True Wireless in Ear Earbuds, 20 Hours Battery,IPX5 & Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,599",3.7,"['420 Ratings &', '83 Reviews']",N/A,2023-05-12,13:02:45
"GOVO GOBUDS 600 True Wireless Earbuds,ENC,40H Playtime,Fast Charge,IPX5 & Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,499",3.9,"['399 Ratings &', '75 Reviews']",N/A,2023-05-12,13:02:45
"GOVO GOBUDS 621 True Wireless in Ear Earbuds, 20 Hours Battery, Fast Charge & Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,999",3.6,"['299 Ratings &', '92 Reviews']",N/A,2023-05-12,13:02:46
"GOVO GOBUDS 901 Bluetooth Headset  (Platinum Black, True Wireless)",N/A,N/A,[],N/A,2023-05-12,13:02:47
"GOVO GOBUDS 920 True Wireless Earbuds, 30H Battery, Fast Charge ,IPX5 & Dual pairing Bluetooth Headset  (Platinum Black, True Wireless)","₹2,699",4,"['180 Ratings &', '37 Reviews']",N/A,2023-05-12,13:02:48
"GOVO GOCRUSH 410 - Bluetooth Speaker, 1800mAh - 15H Battery, IPX7 & ABS Fabric 4 W Bluetooth Speaker  (Platinum Black, Stereo Channel)","₹1,299",4.2,"['232 Ratings &', '43 Reviews']",N/A,2023-05-12,13:02:49
"GOVO GOCRUSH 421 - Bluetooth Speaker, 1800mAh - 15H Battery, IPX7 & ABS Fabric 5 W Bluetooth Speaker  (Platinum Black, Stereo Channel)","₹1,299",3.7,"['271 Ratings &', '47 Reviews']",N/A,2023-05-12,13:02:50
"GOVO GOCRUSH 900 - Bluetooth Speaker, 3600mAh - 25H Battery, IPX7, ABS Fabric 16 W Bluetooth Speaker  (Platinum Black, Stereo Channel)","₹2,999",4.1,"['249 Ratings &', '78 Reviews']",N/A,2023-05-12,13:02:51
"GOVO GOKIXX 400 Bluetooth Neckband, 9H Battery, 10mm Drivers, Magnetic buds, Type C Bluetooth Headset  (Platinum Black, In the Ear)","₹1,199",3.5,"['130 Ratings &', '29 Reviews']",N/A,2023-05-12,13:02:52
"GOVO GOKIXX 410 Bluetooth Neckband, 8H battery, 10mm Drivers, IPX5, Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,299",3.9,"['127 Ratings &', '26 Reviews']",N/A,2023-05-12,13:02:53
"GOVO GOKIXX 421 Bluetooth Neckband, 10H Battery, 10mm Drivers, Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,299",3.9,"['139 Ratings &', '36 Reviews']",N/A,2023-05-12,13:02:54
"GOVO GOKIXX 610 Bluetooth Neckband, 12H Battery, Magnetic Buds,
 Lightweight Design Bluetooth Headset  (Platinum Black, In the Ear)","₹1,499",3.6,"['95 Ratings &', '28 Reviews']",N/A,2023-05-12,13:02:55
"GOVO GOKIXX 620 Bluetooth Neckband, 20H Battery, 10mm Drivers, Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,499",3.9,"['128 Ratings &', '33 Reviews']",N/A,2023-05-12,13:02:56
"GOVO GOKIXX 621 Bluetooth Neckband|22H Battery-Fast Charge,ENC & Smart Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,199",4.5,"['71 Ratings &', '41 Reviews']",N/A,2023-05-12,13:02:58
"GOVO GOKIXX 630 Bluetooth Neckband,10H Battery-Fast Charge,Dual Pairing,Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,499",3.8,"['133 Ratings &', '39 Reviews']",N/A,2023-05-12,13:02:58
"GOVO GOKIXX 651 Bluetooth Neckband, 12H Battery-Fast Charge, Metal Magnetic Buds Bluetooth Headset  (Graphite Gray, In the Ear)","₹1,599",3.9,"['208 Ratings &', '59 Reviews']",N/A,2023-05-12,13:02:59
"GOVO GOKIXX 900 Bluetooth Neckband,12H Battery,12mm Drivers, Premium Gun Metal Finish Bluetooth Headset  (Platinum Black, In the Ear)","₹1,598",3.7,"['107 Ratings &', '27 Reviews']",N/A,2023-05-12,13:03:00
"GOVO GOKIXX 952 Bluetooth Neckband, 106H Battery-Fast Charge, ENC, 10mm Drivers Bluetooth Headset  (Gun Metal Grey, In the Ear)","₹1,390",4.5,"['100 Ratings &', '39 Reviews']",N/A,2023-05-12,13:03:02
"GOVO GOSURROUND 410 Max 2.0 Channel Soundbar with HDMI|AUX|USB|OPT & LED Display 40 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹3,499",4.3,"['203 Ratings &', '65 Reviews']",N/A,2023-05-12,13:03:03
"GOVO GOSURROUND 430 | 80 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹3,999",4.3,"['203 Ratings &', '65 Reviews']",N/A,2023-05-12,13:03:04
"GOVO GOSURROUND 610 | 100 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹4,999",4.3,"['203 Ratings &', '65 Reviews']",N/A,2023-05-12,13:03:04
"GOVO GOSURROUND 620 Max 2.1 Channel Soundbar, 5.25"" Subwoofer & LED Display 100 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹16,999",4.7,[],N/A,2023-05-12,13:03:05
"GOVO GOSURROUND 900 | 200 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹6,599",4.3,"['203 Ratings &', '65 Reviews']",N/A,2023-05-12,13:03:06
"GOVO GOSURROUND 920 200 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹7,599",4.3,"['75 Ratings &', '23 Reviews']",N/A,2023-05-12,13:03:08
"GOVO GOBASS 400 in-Ear Earphones with 10mm Drivers, Tangle Free cable & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹299,4,"['490 Ratings &', '90 Reviews']",N/A,2023-05-12,15:22:24
"GOVO GOBASS 410 in Ear Earphones with Mic, 3D Bass with XL Drivers & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹449,3.6,"['224 Ratings &', '49 Reviews']",N/A,2023-05-12,15:22:25
N/A,N/A,N/A,[],N/A,2023-05-12,15:22:25
"GOVO GOBASS 411 in Ear Wired Earphones with HD Mic, 10mm Dynamic Driver & 3.5mm Jack Wired Headset  (Blue, In the Ear)",N/A,N/A,[],N/A,2023-05-12,15:22:26
"GOVO GOBASS 411 in Ear Wired Earphones with HD Mic, 10mm Dynamic Driver & 3.5mm Jack Wired Headset  (White, In the Ear)",N/A,N/A,[],N/A,2023-05-12,15:22:27
